OpenTime,Open,High,Low,Close,Volume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
2019-09-17 10:17:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00200000,2019-09-17 10:17:59,20.3400,1,0.00000000,0.0000
2019-09-17 10:18:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:18:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:19:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:19:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:20:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:20:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:21:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:21:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:22:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:22:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:23:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:23:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:24:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:24:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:25:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:25:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:26:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:26:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:27:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:27:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:28:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:28:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:29:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:29:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:30:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:30:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:31:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:31:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:32:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:32:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:33:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:33:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:34:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:34:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:35:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:35:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:36:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:36:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:37:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:37:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:38:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:38:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:39:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:39:59,0.0000,0,0.00000000,0.0000
2019-09-17 10:40:00,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000,2019-09-17 10:40:59,0.0000,0,0.00000000,0.0000
